field_id,field_name,field_unit,update_date
1,I_TF,[kA],2011-12-05 14:14:21
4,PF2&3,[kA],2011-12-05 14:17:57
5,PF5,[kA],2011-12-05 14:18:00
6,PF8,[kA],2011-12-05 14:18:03
12,Press_raw,[V],2012-01-17 12:14:44
13,Press,[Torr],2012-01-17 12:14:54
18,V_Loop_#3,[V],2012-04-02 15:56:40
21,V_Loop_#6,[V],2012-04-02 15:56:44
25,V_Loop_#10,[V],2012-04-02 15:56:50
27,ECH6kW_Forward_raw,[V],2012-04-10 15:51:39
28,ECH6kW_Reverse_raw,[V],2012-04-10 15:51:50
59,PF1,[kA],2012-06-22 10:17:36
60,PF3,[kA],2012-06-22 10:17:58
61,PF4,[kA],2012-06-22 10:18:24
62,PF6,[kA],2012-06-22 10:18:29
63,PF7,[kA],2012-06-22 10:18:34
64,PF9,[kA],2012-06-22 10:18:39
65,PF10,[kA],2012-06-22 10:18:46
96,Klystron_7p875GHz_Osc_raw,[V],2012-08-09 15:55:59
97,Klystron_7p875GHz_Forward_raw,[V],2013-01-04 15:07:06
98,Klystron_7p875GHz_Reflect_raw,[V],2013-01-04 15:08:25
101,H_alpha,[a.u.],2013-01-04 15:09:29
102,Ip,[kA],2013-01-22 14:06:36
103,ECH6kW_Forward,[W],2013-01-22 14:19:07
104,ECH6kW_Reverse,[W],2013-01-22 14:19:07
109,Ip_raw,[V],2013-01-28 11:32:44
112,ne_tlp,[m^-3],2013-02-19 10:41:58
113,te_tlp,[eV],2013-02-19 10:41:58
138,H_gamma_434p05_nm,[a.u.],2013-03-19 10:45:51
139,O_II_441p5_nm,[a.u.],2013-03-19 10:45:56
140,C_III_465p0_nm,[a.u.],2013-03-19 10:45:58
141,H_beta_486p13_nm,[a.u.],2013-03-19 10:46:01
142,C_II_514p0_nm,[a.u.],2013-03-19 10:46:04
143,O_650p0_nm,[a.u.],2013-03-19 10:46:07
144,H_alpha_656p28_nm,[a.u.],2013-03-19 10:46:16
159,ECH_Diag_Forward1_raw,[V],2013-04-01 10:34:42
160,ECH_Diag_Reflect1_raw,[V],2013-04-01 10:34:55
161,ECH_Diag_Forward2_raw,[V],2013-04-01 10:35:06
162,ECH_Diag_Reflect2_raw,[V],2013-04-01 10:35:11
164,ECH_Diag_Forward1,[W],2013-04-11 13:52:57
165,ECH_Diag_Reflect1,[W],2013-04-11 13:53:10
166,ECH_Diag_Forward2,[W],2013-04-11 13:53:18
167,ECH_Diag_Reflect2,[W],2013-04-11 13:53:23
171,Mirnov_Outboard,[T/s],2013-04-29 13:36:23
192,Mirnov_Inboard,[T/s],2013-09-04 13:55:32
214,OI_line_777_nm,[a.u.],2013-12-24 18:03:52
216,Limiter_LC,[V],2014-03-24 09:30:17
217,Limiter_UC,[V],2014-03-24 09:30:28
218,Limiter_MM,[V],2014-03-24 09:30:32
219,Press_MCP_raw,[V],2014-04-11 13:34:14
220,Press_MCP,[Torr],2014-04-11 13:35:04
228,ECH10kW_Forward1_raw,[V],2015-04-02 14:51:02
229,ECH10kW_Forward2_raw,[V],2015-04-02 14:51:20
230,ECH10kW_Reverse1_raw,[V],2015-04-02 14:51:35
231,ECH10kW_Reverse2_raw,[V],2015-04-02 14:52:04
232,ECH10kW_Forward1,[W],2015-04-02 14:58:22
233,ECH10kW_Forward2,[W],2015-04-02 14:58:32
234,ECH10kW_Reverse1,[W],2015-04-02 14:58:37
235,ECH10kW_Reverse2,[W],2015-04-02 14:58:39
236,Diamagnetic_Flux,[Wb],2015-04-06 14:28:16
246,Diamagnetic_Flux_raw_legacy,[V],2017-07-04 12:03:16
249,Klystron_7p875GHz_Osc,[W],2019-02-27 12:55:52
250,Klystron_7p875GHz_Forward,[W],2019-02-27 12:56:54
251,Klystron_7p875GHz_Reflect,[W],2019-02-27 12:57:09
257,Diamagnetic_Flux_raw_Rogowski,[V],2023-02-13 13:00:00
258,Diamagnetic_Flux_Rogowski,[Wb],2023-02-13 13:00:00
259,TLP_Upper_V,[V],2023-11-09 13:00:00
260,TLP_Upper_I,[V],2023-11-09 13:00:00
261,TLP_Upper_ne,[m^-3],2023-11-09 13:00:00
262,TLP_Upper_te,[eV],2023-11-09 13:00:00
